Carbon;IR;Tact;tact;SBET;Vtotal;Vmicro;Davg;PSDavg;j;Cs
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;32,89;82
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;31,25;93
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;19,74;137
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;18,09;143
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;16,45;150
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;14,8;156
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;13,16;163
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;11,51;169
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;9,87;176
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;8,22;183,9
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;6,58;192,1
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;4,93;200,5
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;3,29;211
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;1,64;226,1
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;0,82;242,8
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;0,33;265,7
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;0,16;292,8
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;0,08;333
A1;3,58;74,625;650;1984,1;1,0979;1,0517;2,2;0,816;33,33;87
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;31,67;92
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;20;129
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;18,33;137
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;16,67;142
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;15;149
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;13,33;156
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;11,67;162
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;10;169,1
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;8,33;172,8
A2;2;120;950;2941,54;2,2899;1,316;3,6;0,861;6,67;182,9
